Id,Unknown0,Level,Stat1Min,Stat1Max,Stat2Min,Stat2Max,Stat3Min,Stat3Max,Stat4Min,Stat4Max,Stat1Group,Stat2Group,Stat3Group,Stat4Group,Domain,Name,GenerationType,CorrectGroup,Data0Length,Data0,Data1Length,Data1,Unknown22,Unknown23,Data2Length,Data2,Unknown26,Data3Length,Data3,Data4Length,Data4,Metadata,Unknown32
"Strength1",22100,1,8,12,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Brute",2,"Strength",13,78,13,182,-72340172838076674,0,0,234,-72340172838076674,0,234,0,234,"",-72340172838076674
"Strength2",53672,11,13,17,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Wrestler",2,"Strength",13,314,13,418,-72340172838076674,0,0,470,-72340172838076674,0,470,0,470,"",-72340172838076674
"Strength3",27615,22,18,22,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Bear",2,"Strength",13,542,13,646,-72340172838076674,0,0,698,-72340172838076674,0,698,0,698,"",-72340172838076674
"Strength4",49948,33,23,27,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Lion",2,"Strength",13,770,13,874,-72340172838076674,0,0,926,-72340172838076674,0,926,0,926,"",-72340172838076674
"Strength5",34513,44,28,32,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Gorilla",2,"Strength",13,1004,13,1108,-72340172838076674,0,0,1160,-72340172838076674,0,1160,0,1160,"",-72340172838076674
"Strength6",7645,55,33,37,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Goliath",2,"Strength",13,1238,13,1342,-72340172838076674,0,0,1394,-72340172838076674,0,1394,0,1394,"",-72340172838076674
"Strength7",13917,66,38,42,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Leviathan",2,"Strength",13,1476,13,1580,-72340172838076674,0,0,1632,-72340172838076674,0,1632,0,1632,"",-72340172838076674
"Strength8",4242,74,43,50,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"of the Titan",2,"Strength",13,1706,13,1810,-72340172838076674,0,0,1862,-72340172838076674,0,1862,0,1862,"",-72340172838076674
"StrengthUniqueRing2",9742,1,10,20,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,1932,0,1932,-72340172838076674,0,0,1932,-72340172838076674,0,1932,0,1932,"",-72340172838076674
"StrengthImplicitAmulet1",35114,7,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2010,0,2010,-72340172838076674,0,0,2010,-72340172838076674,0,2010,0,2010,"",-72340172838076674
"StrengthImplicitBelt1",7997,10,25,35,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2084,0,2084,-72340172838076674,0,0,2084,-72340172838076674,0,2084,0,2084,"",-72340172838076674
"StrengthUniqueHelmetDexInt1",60963,1,20,20,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2170,0,2170,-72340172838076674,0,0,2170,-72340172838076674,0,2170,0,2170,"",-72340172838076674
"StrengthUniqueTwoHandMace1",22928,1,10,10,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2254,0,2254,-72340172838076674,0,0,2254,-72340172838076674,0,2254,0,2254,"",-72340172838076674
"StrengthUniqueAmulet5",21899,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2328,0,2328,-72340172838076674,0,0,2328,-72340172838076674,0,2328,0,2328,"",-72340172838076674
"StrengthUniqueIntHelmet3",65400,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2408,0,2408,-72340172838076674,0,0,2408,-72340172838076674,0,2408,0,2408,"",-72340172838076674
"StrengthUniqueBootsInt1",5916,1,5,10,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2486,0,2486,-72340172838076674,0,0,2486,-72340172838076674,0,2486,0,2486,"",-72340172838076674
"StrengthUniqueDagger2",21984,1,25,25,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2560,0,2560,-72340172838076674,0,0,2560,-72340172838076674,0,2560,0,2560,"",-72340172838076674
"StrengthUniqueBootsStrDex1",45429,1,40,60,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2644,0,2644,-72340172838076674,0,0,2644,-72340172838076674,0,2644,0,2644,"",-72340172838076674
"StrengthUniqueGlovesDex1",57761,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2724,0,2724,-72340172838076674,0,0,2724,-72340172838076674,0,2724,0,2724,"",-72340172838076674
"StrengthUniqueBelt1",14956,1,20,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2794,0,2794,-72340172838076674,0,0,2794,-72340172838076674,0,2794,0,2794,"",-72340172838076674
"StrengthUniqueBelt2",48928,1,40,50,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2864,0,2864,-72340172838076674,0,0,2864,-72340172838076674,0,2864,0,2864,"",-72340172838076674
"StrengthUniqueBelt4",2559,1,25,25,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,2934,0,2934,-72340172838076674,0,0,2934,-72340172838076674,0,2934,0,2934,"",-72340172838076674
"StrengthUniqueGlovesStr2",20320,1,100,100,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3014,0,3014,-72340172838076674,0,0,3014,-72340172838076674,0,3014,0,3014,"",-72340172838076674
"StrengthUniqueTwoHandAxe3",4346,1,15,30,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3096,0,3096,-72340172838076674,0,0,3096,-72340172838076674,0,3096,0,3096,"",-72340172838076674
"StrengthUniqueBodyStrInt3",13125,1,15,15,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3178,0,3178,-72340172838076674,0,0,3178,-72340172838076674,0,3178,0,3178,"",-72340172838076674
"StrengthUniqueGlovesStrDex3",38490,1,10,10,0,0,0,0,0,0,582,-72340172838076674,-72340172838076674,-72340172838076674,1,"",3,"Strength",0,3264,0,3264,-72340172838076674,0,0,3264,-72340172838076674,0,3264,0,3264,"",-72340172838076674
